anr,datum,legisjahr,rechtsform_name,titel_kurz_d,anzahl,beteiligung,annahme,volkja-proz,berecht,stimmen,gultig,leer,hauptgruppe,untergruppe,kleinstgruppe,br-pos,sr-pos,nr-pos,bv-pos,srja,srnein,nrja,nrnein,sammeltempo,p-fdp,p-sps,p-svp,p-mitte,p-evp,p-gps,p-glp,p-ucsp,p-pda,p-sd,p-edu,p-fps,p-lega,p-kvp,p-mcg,p-cvp,p-bdp,p-lps,p-ldu,p-poch,p-rep,p-eco,p-sgv,p-sbv,p-sgb,p-travs,p-sav,p-vsa,p-vpod,p-voev,p-tcs,p-vcs,p-acs,p-sbk,p-ssv,p-gem,p-kdk,p-kkjpd,p-gdk,p-ldk,p-vdk,p-sodk,p-endk,p-fdk,p-edk,p-bpuk,anneepolitique,curiavista-de,swissvoteslink,rechtsform
1.0,1848-09-12,1848-1851,Obligatorisches Referendum,Bundesverfassung der schweizerischen Eidgenossenschaft,1,,1.0,72.83,,,199904.0,,Staatsordnung,Politisches System,Bundesverfassung,3.0,3,3,3,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/1.00,1
2.0,1866-01-14,1863-1866,Obligatorisches Referendum,Mass und Gewicht,9,,0.0,50.44,,,315578.0,,Staatsordnung,Föderalismus,Beziehungen Bund–Kantone,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/2.00,1
3.0,1866-01-14,1863-1866,Obligatorisches Referendum,Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung,9,,1.0,53.23,,,319433.0,,"Kultur, Religion & Medien","Religion, Kirchen",,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/3.00,1
4.0,1866-01-14,1863-1866,Obligatorisches Referendum,Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten,9,,0.0,43.08,,,318762.0,,Staatsordnung,Volksrechte,Stimmrecht,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/4.00,1
5.0,1866-01-14,1863-1866,Obligatorisches Referendum,Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,9,,0.0,39.88,,,315754.0,,Öffentliche Finanzen,Steuerwesen,Steuersystem,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/5.00,1
6.0,1866-01-14,1863-1866,Obligatorisches Referendum,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,9,,0.0,48.09,,,319148.0,,Staatsordnung,Volksrechte,Stimmrecht,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/6.00,1
7.0,1866-01-14,1863-1866,Obligatorisches Referendum,Glaubens- und Kultusfreiheit,9,,0.0,49.16,,,320621.0,,"Kultur, Religion & Medien","Religion, Kirchen",,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/7.00,1
8.0,1866-01-14,1863-1866,Obligatorisches Referendum,Ausschliessung einzelner Strafarten,9,,0.0,34.19,,,316983.0,,Staatsordnung,Rechtsordnung,Strafrecht,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/8.00,1
9.0,1866-01-14,1863-1866,Obligatorisches Referendum,Schutz des geistigen Eigentums,9,,0.0,43.66,,,314862.0,,Wirtschaft,Wirtschaftspolitik,Wettbewerbspolitik,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/9.00,1
10.0,1866-01-14,1863-1866,Obligatorisches Referendum,Verbot der Lotterie und Hasardspiele,9,,0.0,44.03,,,315850.0,,Wirtschaft,Wirtschaftspolitik,Strukturpolitik,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/10.00,1
11.0,1872-05-12,1869-1872,Obligatorisches Referendum,Bundesverfassung (Totalrevision),1,,0.0,49.49,,,516468.0,,Staatsordnung,Politisches System,Bundesverfassung,,1,1,1,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/11.00,1
12.0,1874-04-19,1872-1875,Obligatorisches Referendum,Bundesverfassung (Totalrevision),1,,1.0,63.21,,,538212.0,,Staatsordnung,Politisches System,Bundesverfassung,,1,1,1,,.,.,.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/12.00,1
13.0,1875-05-23,1872-1875,Fakultatives Referendum,Gesetz betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,2,,1.0,50.97,,,418268.0,,Staatsordnung,Rechtsordnung,Privatrecht,1.0,1,1,1,20,14,60,17,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/13.00,2
14.0,1875-05-23,1872-1875,Fakultatives Referendum,Gesetz über die politische Stimmberechtigung der Schweizerbürger,2,,0.0,49.43,,,409846.0,,Staatsordnung,Volksrechte,Stimmrecht,1.0,1,1,1,18,17,60,19,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/14.00,2
15.0,1876-04-23,1875-1878,Fakultatives Referendum,Banknotengesetz,1,,0.0,38.32,,,313321.0,,Wirtschaft,Finanzwesen,Geld- und Währungspolitik,1.0,1,1,1,19,13,66,31,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/15.00,2
16.0,1876-07-09,1875-1878,Fakultatives Referendum,Gesetz betreffend die Militärpflichtersatzsteuer,1,,0.0,45.79,,,341051.0,,Sicherheitspolitik,Armee,Armee (allgemein),1.0,1,1,1,22,10,38,27,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/16.00,2
17.0,1877-10-21,1875-1878,Fakultatives Referendum,Fabrikgesetz,3,,1.0,51.47,,,352061.0,,Wirtschaft,Arbeit und Beschäftigung,Arbeitsbedingungen,1.0,1,1,1,21,16,90,15,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/17.00,2
18.0,1877-10-21,1875-1878,Fakultatives Referendum,Gesetz betreffend den Militärpflichtersatz,3,,0.0,48.41,,,351606.0,,Sicherheitspolitik,Armee,Armee (allgemein),1.0,1,1,1,29,12,46,18,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/18.00,2
19.0,1877-10-21,1875-1878,Fakultatives Referendum,Politische Rechte der Niedergelassenen und Aufenthalter,3,,0.0,38.16,,,344787.0,,Staatsordnung,Volksrechte,Stimmrecht,1.0,1,1,1,24,14,50,17,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/19.00,2
20.0,1879-01-19,1878-1881,Fakultatives Referendum,Subvention der Alpenbahnen,1,61.9,1.0,70.69,636996.0,394302.0,394302.0,,Verkehr & Infrastruktur,Schienenverkehr,,1.0,1,1,1,35,0,87,13,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/20.00,2
21.0,1879-05-18,1878-1881,Obligatorisches Referendum,Wiedereinführung der Todesstrafe,1,60.35,1.0,52.47,633138.0,382073.0,382073.0,,Staatsordnung,Rechtsordnung,Grundrechte,,1,1,1,27,13,76,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/21.00,1
22.0,1880-10-31,1878-1881,Obligatorisches Referendum,Banknotenmonopol,1,59.42,0.0,31.77,641576.0,381225.0,381225.0,5305.0,Wirtschaft,Finanzwesen,Geld- und Währungspolitik,,1,1,1,30,5,97,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/22.00,1
23.0,1882-07-30,1881-1884,Obligatorisches Referendum,Bundesbeschluss betreffend den Erfindungsschutz,2,46.95,0.0,47.48,635249.0,298274.0,298274.0,,Wirtschaft,Wirtschaftspolitik,Wettbewerbspolitik,,1,1,1,26,3,77,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/23.00,1
24.0,1882-07-30,1881-1884,Fakultatives Referendum,Epidemiengesetz,2,50.75,0.0,21.1,635249.0,322367.0,322367.0,,Sozial- und Gesellschaftspolitik,Gesundheit,Gesundheitspolitik,1.0,1,1,1,24,11,83,12,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/24.00,2
25.0,1882-11-26,1881-1884,Fakultatives Referendum,Schaffung eines Erziehungssekretärs des Bundes,1,75.64,0.0,35.09,648000.0,490149.0,490149.0,,Bildung & Forschung,Schulen,,1.0,1,1,1,22,19,86,30,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/25.00,2
26.0,1884-05-11,1881-1884,Fakultatives Referendum,Organisation des Justiz- und Polizeidepartements,4,60.09,0.0,41.06,634299.0,381140.0,364645.0,,Staatsordnung,Institutionen,"Regierung, Verwaltung",1.0,1,1,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/26.00,2
27.0,1884-05-11,1881-1884,Fakultatives Referendum,Patenttaxen der Handelsreisenden,4,60.09,0.0,47.89,634299.0,381140.0,363745.0,,Staatsordnung,Föderalismus,Beziehungen Bund–Kantone,1.0,1,1,1,25,15,71,40,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/27.00,2
28.0,1884-05-11,1881-1884,Fakultatives Referendum,Bundesstrafrecht (Stabio-Artikel),4,60.09,0.0,43.96,634299.0,381140.0,361841.0,,Staatsordnung,Rechtsordnung,Strafrecht,1.0,1,1,1,21,18,63,43,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/28.00,2
29.0,1884-05-11,1881-1884,Fakultatives Referendum,Beitrag an die Gesandtschaft in Washington,4,60.09,0.0,38.55,634299.0,381140.0,357552.0,,Aussenpolitik,Diplomatie,,1.0,1,1,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/29.00,2
30.0,1885-10-25,1884-1887,Obligatorisches Referendum,Bundeskompetenz zur Regelung des Alkoholwesens,1,60.42,1.0,59.39,641689.0,387713.0,387713.0,,Sozial- und Gesellschaftspolitik,Gesundheit,Suchtmittel,,1,1,1,31,1,103,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/30.00,1
31.0,1887-05-15,1884-1887,Fakultatives Referendum,Bundesgesetz betreffend gebrannte Wasser,1,62.45,1.0,65.86,649494.0,405618.0,405618.0,,Sozial- und Gesellschaftspolitik,Gesundheit,Suchtmittel,1.0,1,1,1,35,2,102,6,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/31.00,2
32.0,1887-07-10,1884-1887,Obligatorisches Referendum,Bundeskompetenz für den Erfindungsschutz,1,42.4,1.0,77.86,647071.0,274346.0,261368.0,11463.0,Wirtschaft,Wirtschaftspolitik,Wettbewerbspolitik,,1,1,1,28,6,88,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/32.00,1
33.0,1889-11-17,1887-1890,Fakultatives Referendum,Gesetz über Schuldbetreibung und Konkurs,1,70.87,1.0,52.86,661225.0,468618.0,462238.0,3833.0,Wirtschaft,Wirtschaftspolitik,,1.0,1,1,1,13,4,91,29,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/33.00,2
34.0,1890-10-26,1887-1890,Obligatorisches Referendum,Gesetzgebungsrecht über die Unfall- und Krankenversicherung,1,59.75,1.0,75.44,663531.0,396448.0,375428.0,12409.0,Sozial- und Gesellschaftspolitik,Sozialversicherungen,Kranken- und Unfallversicherung,,1,1,1,38,0,112,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/34.00,1
35.0,1891-03-15,1890-1893,Fakultatives Referendum,Pensionsgesetz,1,68.61,0.0,20.6,657779.0,451328.0,445828.0,2984.0,Staatsordnung,Institutionen,"Regierung, Verwaltung",1.0,1,1,1,32,0,83,0,.,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/35.00,2
36.0,1891-07-05,1890-1893,Obligatorisches Referendum,Einführung der Volksinitiative zur Teilrevision der Bundesverfassung,1,49.92,1.0,60.28,641692.0,320356.0,303628.0,15398.0,Staatsordnung,Volksrechte,Initiative,,1,1,1,24,10,71,63,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/36.00,1
37.0,1891-10-18,1890-1893,Obligatorisches Referendum,Banknotenmonopol,2,61.97,1.0,59.35,654372.0,405483.0,390193.0,13400.0,Wirtschaft,Finanzwesen,Geld- und Währungspolitik,,1,1,1,20,18,98,33,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/37.00,1
38.0,1891-10-18,1890-1893,Fakultatives Referendum,Zolltarifgesetz,2,61.56,1.0,58.06,654372.0,402812.0,378938.0,22034.0,Aussenpolitik,Aussenwirtschaftspolitik,Zollwesen,1.0,1,1,1,22,10,71,15,.,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/38.00,2
39.0,1891-12-06,1890-1893,Fakultatives Referendum,Rückkauf der Centralbahn,1,64.26,0.0,31.12,653792.0,420135.0,420135.0,,Verkehr & Infrastruktur,Schienenverkehr,,1.0,1,1,1,22,21,80,30,.,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/39.00,2
40.0,1893-08-20,1890-1893,Volksinitiative,Initiative für ein Schächtverbot,1,49.18,1.0,60.11,668913.0,328983.0,318628.0,8600.0,Landwirtschaft,Tierische Produktion,,3.0,2,2,2,0,31,49,61,650,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/40.00,3
